Season,Stadium,ThirdDownPercentage,TeamID
2025,Nissan Stadium,33.3,34
2025,Lucas Oil Stadium,50.0,15
2025,Lucas Oil Stadium,36.4,14
2025,Bank of America Stadium,56.2,30
2025,Bank of America Stadium,9.1,5
2025,Hard Rock Stadium,46.2,33
2025,Hard Rock Stadium,33.3,19
2025,Allegiant Stadium,46.2,23
2025,Allegiant Stadium,23.1,25
2025,Highmark Stadium,23.1,26
2025,Highmark Stadium,40.0,4
2025,Levi's Stadium,50.0,6
2025,Levi's Stadium,70.0,31
2025,Mercedes-Benz Stadium,38.5,32
2025,Mercedes-Benz Stadium,38.5,2
2025,Raymond James Stadium,12.5,5
2025,Raymond James Stadium,53.3,33
2025,Levi's Stadium,46.2,30
2025,Levi's Stadium,22.2,31
2025,MetLife Stadium,25.0,9
2025,MetLife Stadium,57.1,23
2025,EverBank Stadium,28.6,34
2025,EverBank Stadium,44.4,15
2025,NRG Stadium,53.3,14
2025,NRG Stadium,30.8,13
2025,U.S. Bank Stadium,25.0,12
2025,U.S. Bank Stadium,20.0,20
2025,Mercedes-Benz Stadium,31.2,22
2025,Mercedes-Benz Stadium,28.6,2
2025,Paycor Stadium,35.7,8
2025,Paycor Stadium,45.5,7
2025,Soldier Field,46.2,11
2025,Gillette Stadium,38.5,19
2025,Soldier Field,36.4,6
2025,Gillette Stadium,50.0,21
2025,Empower Field at Mile High,35.0,29
2025,Lincoln Financial Field,54.5,35
2025,Empower Field at Mile High,33.3,10
2025,Lincoln Financial Field,42.9,26
2025,Allegiant Stadium,17.6,16
2025,Highmark Stadium,38.5,24
2025,Allegiant Stadium,25.0,25
2025,Highmark Stadium,46.2,4
2025,SoFi Stadium,36.4,1
2025,SoFi Stadium,56.2,32
2025,Acrisure Stadium,33.3,3
2025,Acrisure Stadium,56.2,28
2025,Bank of America Stadium,23.1,32
2025,Bank of America Stadium,41.7,5
2025,Soldier Field,40.0,12
2025,Soldier Field,52.6,6
2025,EverBank Stadium,50.0,4
2025,EverBank Stadium,55.6,15
2025,Lincoln Financial Field,54.5,31
2025,Lincoln Financial Field,31.2,26
2025,Gillette Stadium,10.0,29
2025,Gillette Stadium,36.4,21
2025,Acrisure Stadium,66.7,13
2025,Acrisure Stadium,14.3,28
2025,Empower Field at Mile High,66.7,4
2025,Empower Field at Mile High,50.0,10
2025,Lumen Field,50.0,31
2025,Lumen Field,40.0,30
2025,Gillette Stadium,41.2,13
2025,Gillette Stadium,21.4,21
2025,Soldier Field,31.2,32
2025,Soldier Field,47.4,6
2025,Empower Field at Mile High,33.3,21
2025,Empower Field at Mile High,28.6,10
2025,Lumen Field,12.5,32
2025,Lumen Field,53.8,30
2025,Moscone Center,0,37
2025,Moscone Center,0,36
2025,Levi's Stadium,25.0,30
2025,Levi's Stadium,40.0,21
