Number,FirstName,LastName,Status,Height,InjuryStatus
,Garrett,Gilbert,Inactive,6'4",
,Lamarcus,Joyner,Inactive,5'8",
,John,Brown,Inactive,5'11",
,Dontae,Johnson,Inactive,6'2",
,Jimmie,Ward,Inactive,5'11",
,Justin,Britt,Inactive,6'6",
,Kevin,Pierre-Louis,Inactive,6'0",
,Adrian,Phillips,Inactive,5'11",
,Jerick,McKinnon,Inactive,5'9",
,Brandon,Scherff,Inactive,6'5",
,Kevin,White,Inactive,6'3",
,Danny,Shelton,Inactive,6'2",
,Andrus,Peat,Inactive,6'7",
,Melvin,Gordon III,Inactive,6'1",
,Marcus,Peters,Inactive,6'0",
,D.J.,Humphries,Inactive,6'5",
,Shaq,Thompson,Inactive,6'0",
,Breshad,Perriman,Inactive,6'2",
,Byron,Jones,Inactive,6'1",
,Laken,Tomlinson,Inactive,6'3",
,Malcom,Brown,Inactive,6'2",
,Landon,Collins,Inactive,6'0",
,Donovan,Smith,Inactive,6'6",
,Mario,Edwards Jr.,Inactive,6'3",
,Preston,Smith,Inactive,6'5",
,Eddie,Goldman,Inactive,6'3",
,Devin,Funchess,Inactive,6'4",
,Eric,Kendricks,Inactive,6'0",
,Jaquiski,Tartt,Inactive,6'1",
,Nelson,Agholor,Inactive,6'0",
,Cedric,Ogbuehi,Inactive,6'5",
,Mitch,Morse,Inactive,6'6",
,Maxx,Williams,Inactive,6'4",
,Rob,Havenstein,Inactive,6'8",
,Frank,Clark,Inactive,6'3",
,A.J.,Cann,Inactive,6'3",
,Tyler,Lockett,Inactive,5'10",
,Hroniss,Grasu,Inactive,6'3",
,Tevin,Coleman,Inactive,6'1",
,Chris,Conley,Inactive,6'3",
,Duke,Johnson,Inactive,5'9",
,P.J.,Williams,Inactive,6'0",
,John,Miller,Inactive,6'2",
,Chaz,Green,Inactive,6'5",
,Henry,Anderson,Inactive,6'6",
,Ty,Montgomery II,Inactive,6'0",
,Steven,Nelson,Inactive,5'11",
,Angelo,Blackson,Inactive,6'4",
,Trey,Flowers,Inactive,6'2",
,Jamison,Crowder,Inactive,5'9",
,Jamil,Douglas,Inactive,6'4",
,Blake,Bell,Inactive,6'6",
,Jordan,Phillips,Inactive,6'6",
,Tyler,Kroft,Inactive,6'6",
,David,Johnson,Inactive,6'1",
,Sean,Mannion,Inactive,6'6",
,Kwon,Alexander,Inactive,6'1",
,Mike,Davis,Inactive,5'9",
,Stefon,Diggs,Inactive,6'0",
,Brett,Hundley,Inactive,6'3",
,Tyeler,Davison,Inactive,6'2",
,C.J.,Uzomah,Inactive,6'6",
,Jesse,James,Inactive,6'7",
,David,Mayo,Inactive,6'2",
,Tye,Smith,Inactive,6'0",
,Nick,Boyle,Inactive,6'4",
,James,O'Shaughnessy,Inactive,6'4",
,Quandre,Diggs,Inactive,5'9",
,Darren,Waller,Inactive,6'6",
,Christian,Ringo,Inactive,6'1",
,Christian,Covington,Inactive,6'2",
,Austin,Reiter,Inactive,6'3",
68,Bobby,Hart,Active,6'5",
,Jon,Feliciano,Inactive,6'4",
,Shaq,Mason,Inactive,6'1",
,Max,Garcia,Inactive,6'4",
,Mark,Glowinski,Inactive,6'4",
,MyCole,Pruitt,Inactive,6'2",
,Geoff,Swaim,Inactive,6'4",
,Justin,Coleman,Inactive,5'11",
,Malcolm,Brown,Inactive,5'11",
,Tyrell,Adams,Inactive,6'2",
,Josh,Lambo,Inactive,6'0",
,Neville,Hewitt,Inactive,6'2",
,Dean,Marlowe,Inactive,6'1",
,Anthony,Harris,Inactive,6'1",
,Brandon,King,Inactive,6'2",
,Raheem,Mostert,Inactive,5'10",
,DeAndre,Carter,Inactive,5'8",
,James,Vaughters,Inactive,6'2",
,Michael,Palardy,Inactive,5'11",
,Jake,Kumerow,Inactive,6'4",
,Adam,Humphries,Inactive,5'11",
,Troy,Hill,Inactive,5'10",
,DeShawn,Williams,Inactive,6'1",
,Justin,Hamilton,Inactive,6'2",
,Bryce,Callahan,Inactive,5'9",
,C.J.,Goodwin,Inactive,6'3",
,Josh,Watson,Inactive,6'2",
,David,Andrews,Inactive,6'2",
,Jordan,Berry,Inactive,6'5",
,Kendall,Lamm,Inactive,6'5",
,Greg,Mancz,Inactive,6'4",
,Daniel,Munyer,Inactive,6'1",
,DeVante,Bausby,Inactive,6'1",
,Joey,Bosa,Inactive,6'5",
,Leonard,Floyd,Inactive,6'3",
,Jack,Conklin,Inactive,6'6",
,Reggie,Ragland,Inactive,6'2",
,Corey,Coleman,Inactive,5'11",
,Robert,Nkemdiche,Inactive,6'3",
,Keanu,Neal,Inactive,6'0",
,Vernon,Butler,Inactive,6'4",
,William,Jackson,Inactive,6'0",
,Taylor,Decker,Inactive,6'7",
,Myles,Jack,Inactive,6'1",
,Ryan,Kelly,Inactive,6'4",
,Karl,Joseph,Inactive,5'10",
,Artie,Burns,Inactive,6'0",
,Germain,Ifedi,Inactive,6'5",
,Noah,Spence,Inactive,6'2",
,Emmanuel,Ogbah,Inactive,6'4",
,Nick,Martin,Inactive,6'4",
