Number,FantasyPosition,PlayerSeasonID,AuctionValue,AuctionValuePPR
91,DL,991411817,,
91,DL,991339201,,
91,DL,991309074,,
9,DB,991309075,,
9,DB,991339202,,
19,P,991340888,,
19,P,991409506,,
25,DB,991337581,,
25,DB,991409507,,
87,TE,991309076,,
39,DB,991409508,,
39,DB,991309077,,
39,DB,991339203,,
15,WR,991309078,,
13,WR,991377524,,
13,WR,991409509,,
19,WR,991309079,,
6,QB,991309080,,
21,RB,991309081,,
57,DL,991309082,,
57,DL,991339204,,
57,DL,991409510,,
23,DB,991409511,,
23,DB,991370238,,
23,DB,991309083,,
3,DB,991309084,,
3,DB,991339205,,
2,K,991309085,,
41,RB,991309086,,
41,RB,991339206,,
41,RB,991409512,,
28,DB,991409513,,
28,DB,991339207,,
55,DL,991365690,,
55,DL,991309087,,
82,WR,991309088,,
18,WR,991309089,,
18,WR,991339208,,
5,WR,991339209,,
5,WR,991309090,,
84,TE,991309091,,
50,DL,991309092,,
50,DL,991339210,,
50,DL,991409514,,
79,OL,991409515,,
79,OL,991339211,,
79,OL,991309093,,
28,DB,991309094,,
53,OL,991309095,,
10,WR,991409516,,
10,WR,991309096,,
10,WR,991339213,,
4,RB,991339214,,
4,RB,991309097,,
4,RB,991409517,,
72,DL,991355292,,
72,DL,991409518,,
70,OL,991339215,,
70,OL,991309098,,
70,OL,991409519,,
8,LB,991409520,,
8,LB,991309099,,
8,LB,991339216,,
54,LB,991373306,,
54,LB,991409521,,
47,DB,991339217,,
47,DB,991309100,,
47,DB,991409522,,
13,WR,991309101,,
74,OL,991309102,,
74,OL,991339218,,
74,OL,991409523,,
46,DB,991309103,,
62,OL,991339220,,
62,OL,991409524,,
86,TE,991339221,,
86,TE,991309104,,
86,TE,991409525,,
75,OL,991309105,,
64,OL,991309106,,
64,OL,991339222,,
64,OL,991409526,,
42,LB,991409527,,
42,LB,991339223,,
42,LB,991309107,,
16,WR,991327988,,
75,DL,991409528,,
75,DL,991392721,,
40,P,991339224,,
40,P,991309108,,
14,WR,991409529,,
80,WR,991309109,,
14,WR,991339225,,
24,DB,991409530,,
24,DB,991339226,,
24,DB,991309110,,
0,WR,991409531,,
0,WR,991309111,,
0,WR,991339227,,
22,RB,991409532,,
22,RB,991339228,,
22,RB,991309112,,
,RB,991309324,,
94,DL,991309113,,
94,DL,991339229,,
20,RB,991409533,,
20,RB,991309114,,
72,DL,991309115,,
25,DB,991309116,,
93,DL,991309117,,
93,DL,991343060,,
48,LB,991309118,,
51,DL,991321735,,
90,DL,991309119,,
68,OL,991409534,,
68,OL,991309120,,
68,OL,991386118,,
56,DL,991339230,,
56,DL,991309121,,
56,DL,991409535,,
67,OL,991309122,,
35,LB,991309123,,
35,LB,991355293,,
71,DL,991309124,,
65,OL,991309125,,
29,DB,991309126,,
29,DB,991339231,,
33,DB,991309127,,
44,LB,991309128,,
44,LB,991339232,,
44,LB,991409536,,
85,TE,991339233,,
85,TE,991309129,,
85,TE,991409537,,
81,WR,991309130,,
96,DL,991409538,,
96,DL,991309131,,
96,DL,991339234,,
31,DB,991409539,,
31,DB,991365691,,
31,DB,991309132,,
98,DL,991309133,,
98,DL,991339235,,
98,DL,991409540,,
33,DB,991327989,,
43,DB,991309134,,
43,DB,991339236,,
37,DB,991339237,,
37,DB,991309135,,
37,DB,991409541,,
77,OL,991309136,,
77,OL,991339238,,
61,OL,991309137,,
89,WR,991309138,,
83,TE,991409542,,
83,TE,991309139,,
83,TE,991377525,,
21,RB,991313040,,
63,OL,991327990,,
49,LB,991309140,,
49,LB,991343061,,
36,DB,991312955,,
30,DB,991309141,,
59,DL,991309142,,
,OL,991309143,,
36,K,991309144,,
44,LS,991408579,,
44,LS,991337513,,
44,LS,991307487,,
14,QB,991307488,,
14,QB,991337514,,
14,QB,991408580,,
6,P,991408581,,
6,P,991337515,,
6,P,991307489,,
19,WR,991307490,,
94,DL,991408582,,
94,DL,991307491,,
94,DL,991337516,,
72,OL,991408583,,
72,OL,991337517,,
72,OL,991307492,,
83,WR,991408584,,
83,WR,991307493,,
83,WR,991337518,,
63,OL,991408585,,
63,OL,991337519,,
63,OL,991307494,,
16,QB,991369419,,
27,DB,991358288,,
2,DB,991408586,,
2,DB,991337520,,
2,DB,991307495,,
35,DB,991404275,,
77,OL,991408587,,
