SeasonType,Season,AwayScore,HomeScore,StadiumID,ForecastDescription,ForecastWindChill,ForecastWindSpeed,ScoreID,NeutralVenue
2,2025,34,7,46,Broken Clouds,61,10,19391,True
2,2025,16,24,7,Few Clouds,70,7,19411,False
2,2025,27,34,18,Clear Sky,65,5,19412,False
2,2025,23,23,31,Broken Clouds,62,3,19424,False
2,2025,17,10,45,Scattered Clouds,71,7,19413,False
2,2025,30,10,26,Scattered Clouds,70,4,19414,False
2,2025,18,48,4,Clear Sky,59,2,19415,False
2,2025,34,25,1,Scattered Clouds,71,8,19430,False
2,2025,10,20,42,Scattered Clouds,73,6,19416,False
2,2025,31,25,10,Light Rain,78,7,19418,False
2,2025,21,31,54,Scattered Clouds,67,4,19417,False
2,2025,7,29,24,Broken Clouds,78,7,19422,False
2,2025,17,20,29,Clear Sky,100,18,19428,False
2,2025,30,10,22,Scattered Clouds,70,8,19419,False
2,2025,30,9,37,Few Clouds,69,2,19433,False
2,2025,24,24,20,Broken Clouds,85,11,19434,False
2,2025,13,27,54,Broken Clouds,71,9,19420,False
2,2025,23,20,45,Light Rain,73,2,19394,False
2,2025,16,33,31,Moderate Rain,66,11,19425,False
2,2025,24,17,21,Light Rain,76,5,19431,False
2,2025,3,20,11,Clear Sky,83,6,19421,False
2,2025,23,19,9,Broken Clouds,72,3,19395,False
2,2025,20,12,42,Light Rain,72,5,19396,False
2,2025,22,13,18,Clear Sky,74,6,19397,False
2,2025,22,19,53,Scattered Clouds,88,8,19426,False
2,2025,31,13,17,Few Clouds,86,9,19398,False
2,2025,22,23,54,Broken Clouds,68,3,19399,False
2,2025,12,31,3,Broken Clouds,75,7,19400,False
2,2025,17,14,8,Light Rain,74,2,19401,False
2,2025,7,27,13,Scattered Clouds,73,5,19429,False
2,2025,17,17,27,Scattered Clouds,80,3,19402,False
2,2025,0,38,20,Broken Clouds,72,6,19392,False
2,2025,31,17,19,Overcast Clouds,72,9,19393,False
2,2025,19,10,26,Light Rain,74,5,19403,False
2,2025,10,42,3,Clear Sky,64,9,19389,False
2,2025,19,17,3,Clear Sky,70,7,19404,False
2,2025,13,31,17,Few Clouds,83,9,19405,False
2,2025,13,23,12,Few Clouds,75,3,19390,False
2,2025,29,27,15,Clear Sky,73,3,19406,False
2,2025,30,3,19,Scattered Clouds,69,4,19437,False
2,2025,41,14,5,Scattered Clouds,71,5,19407,False
2,2025,17,19,6,Light Rain,70,10,19408,False
2,2025,26,7,21,Scattered Clouds,66,5,19432,False
2,2025,28,19,27,Light Rain,80,6,19409,False
2,2025,7,20,22,Clear Sky,60,10,19410,False
2,2025,6,14,2,Few Clouds,77,7,19435,False
2,2025,23,19,24,Light Rain,79,12,19423,False
2,2025,23,30,37,Scattered Clouds,65,5,19436,False
2,2025,10,20,29,Scattered Clouds,96,12,19427,False
1,2025,20,24,18,Light Rain,68,4,19039,False
1,2025,21,27,87,Overcast Clouds,60,9,19054,True
1,2025,23,20,45,Clear Sky,66,10,19055,False
1,2025,17,16,6,Clear Sky,50,5,19056,False
1,2025,8,33,9,Clear Sky,54,5,19057,False
1,2025,10,26,10,Light Rain,77,3,19058,False
1,2025,20,13,4,Overcast Clouds,58,5,19059,False
1,2025,20,13,27,Scattered Clouds,80,10,19060,False
1,2025,34,32,3,Broken Clouds,61,7,19061,False
1,2025,6,21,19,Clear Sky,58,5,19062,False
1,2025,12,20,13,Scattered Clouds,68,3,19063,False
1,2025,17,13,31,Overcast Clouds,65,3,19064,False
1,2025,13,27,22,Clear Sky,50,4,19065,False
1,2025,9,14,54,Clear Sky,72,4,19066,False
1,2025,40,41,1,Broken Clouds,52,4,19067,False
1,2025,27,24,20,Clear Sky,71,6,19068,False
1,2025,18,27,22,Few Clouds,57,1,19083,False
1,2025,17,41,7,Scattered Clouds,68,4,19084,False
1,2025,27,31,5,Clear Sky,70,3,19085,False
1,2025,37,40,17,Scattered Clouds,81,6,19086,False
1,2025,21,52,21,Clear Sky,65,4,19087,False
1,2025,33,27,2,Light Rain,79,6,19088,False
1,2025,26,21,27,Scattered Clouds,78,4,19089,False
1,2025,30,10,3,Scattered Clouds,69,1,19090,False
1,2025,31,17,8,Clear Sky,66,4,19091,False
1,2025,33,19,12,Light Rain,74,2,19092,False
1,2025,22,27,29,Clear Sky,85,4,19093,False
1,2025,28,29,9,Clear Sky,70,5,19094,False
1,2025,20,17,15,Scattered Clouds,73,5,19095,False
1,2025,22,6,42,Scattered Clouds,76,10,19096,False
1,2025,20,19,11,Scattered Clouds,79,4,19097,False
1,2025,20,9,53,Clear Sky,86,2,19098,False
1,2025,21,31,1,Scattered Clouds,65,4,19099,False
1,2025,0,30,26,Broken Clouds,66,6,19100,False
1,2025,10,13,6,Broken Clouds,67,13,19101,False
1,2025,10,17,10,Scattered Clouds,75,3,19102,False
1,2025,10,48,42,Light Rain,64,4,19103,False
1,2025,21,14,4,Overcast Clouds,52,2,19104,False
1,2025,26,33,18,Broken Clouds,57,3,19105,False
1,2025,27,29,24,Scattered Clouds,79,8,19106,False
1,2025,41,20,12,Overcast Clouds,69,8,19107,False
1,2025,24,41,19,Broken Clouds,64,4,19108,False
1,2025,20,23,54,Scattered Clouds,69,5,19109,False
1,2025,13,44,31,Broken Clouds,59,2,19110,False
1,2025,14,31,20,Overcast Clouds,70,4,19111,False
1,2025,15,16,37,Clear Sky,68,2,19112,False
1,2025,22,9,3,Clear Sky,58,4,19113,False
1,2025,38,30,7,Broken Clouds,67,5,19114,False
1,2025,23,20,29,Scattered Clouds,89,10,19115,False
1,2025,21,24,90,Broken Clouds,47,4,19047,True
1,2025,27,34,45,Clear Sky,70,8,19116,False
1,2025,19,31,1,Clear Sky,57,4,19117,False
1,2025,10,34,21,Clear Sky,60,4,19118,False
1,2025,0,26,11,Broken Clouds,73,3,19119,False
1,2025,13,42,4,Clear Sky,64,5,19120,False
1,2025,18,21,3,Few Clouds,70,5,19121,False
1,2025,31,25,24,Clear Sky,76,10,19122,False
1,2025,20,27,54,Clear Sky,68,5,19123,False
1,2025,26,21,37,Overcast Clouds,67,5,19124,False
1,2025,20,37,15,Clear Sky,71,7,19125,False
1,2025,25,24,53,Scattered Clouds,74,4,19126,False
1,2025,40,40,17,Scattered Clouds,73,5,19127,False
1,2025,21,27,2,Broken Clouds,79,13,19128,False
1,2025,3,28,13,Overcast Clouds,57,4,19129,False
1,2025,26,23,54,Scattered Clouds,67,6,19130,False
1,2025,21,17,47,Overcast Clouds,52,8,19045,True
1,2025,44,10,7,Clear Sky,61,3,19131,False
1,2025,24,27,26,Broken Clouds,64,3,19132,False
1,2025,6,40,9,Clear Sky,64,6,19133,False
1,2025,14,26,27,Broken Clouds,76,7,19134,False
1,2025,37,22,3,Clear Sky,66,5,19135,False
1,2025,21,17,18,Clear Sky,62,4,19136,False
1,2025,22,21,29,Clear Sky,74,4,19137,False
1,2025,38,35,31,Clear Sky,53,4,19138,False
1,2025,37,24,5,Clear Sky,64,4,19139,False
